Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/16/2024,01:00,N,HB_HUBAVG,141.47
01/16/2024,02:00,N,HB_HUBAVG,141.45
01/16/2024,03:00,N,HB_HUBAVG,181.60
01/16/2024,04:00,N,HB_HUBAVG,233.41
01/16/2024,05:00,N,HB_HUBAVG,351.93
01/16/2024,06:00,N,HB_HUBAVG,697.42
01/16/2024,07:00,N,HB_HUBAVG,"1,307.69"
01/16/2024,08:00,N,HB_HUBAVG,"1,869.31"
01/16/2024,09:00,N,HB_HUBAVG,"1,352.38"
01/16/2024,10:00,N,HB_HUBAVG,341.19
01/16/2024,11:00,N,HB_HUBAVG,196.55
01/16/2024,12:00,N,HB_HUBAVG,143.29
01/16/2024,13:00,N,HB_HUBAVG,100.56
01/16/2024,14:00,N,HB_HUBAVG,86.69
01/16/2024,15:00,N,HB_HUBAVG,79.82
01/16/2024,16:00,N,HB_HUBAVG,78.68
01/16/2024,17:00,N,HB_HUBAVG,95.15
01/16/2024,18:00,N,HB_HUBAVG,256.67
01/16/2024,19:00,N,HB_HUBAVG,327.35
01/16/2024,20:00,N,HB_HUBAVG,321.75
01/16/2024,21:00,N,HB_HUBAVG,281.37
01/16/2024,22:00,N,HB_HUBAVG,203.79
01/16/2024,23:00,N,HB_HUBAVG,213.54
01/16/2024,24:00,N,HB_HUBAVG,161.93
