Date time,Home (kW),Powerwall (kW),Solar (kW),Grid (kW)
2023-08-24T00:00:00-05:00,7.2,0.0,0.0,7.2
2023-08-24T00:05:00-05:00,9.7,0.0,0.0,9.6
2023-08-24T00:10:00-05:00,5.8,0.0,0.0,5.8
2023-08-24T00:15:00-05:00,1.3,0.0,0.0,1.3
2023-08-24T00:20:00-05:00,2.8,0.0,0.0,2.8
2023-08-24T00:25:00-05:00,0.8,0.0,0.0,0.7
2023-08-24T00:30:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T00:35:00-05:00,2.3,0.0,0.0,2.3
2023-08-24T00:40:00-05:00,4.3,0.0,0.0,4.3
2023-08-24T00:45:00-05:00,4.3,0.0,0.0,4.3
2023-08-24T00:50:00-05:00,5.6,0.0,0.0,5.6
2023-08-24T00:55:00-05:00,4.0,0.0,0.0,4.0
2023-08-24T01:00:00-05:00,4.0,0.0,0.0,4.0
2023-08-24T01:05:00-05:00,4.0,0.0,0.0,4.0
2023-08-24T01:10:00-05:00,5.2,0.0,0.0,5.1
2023-08-24T01:15:00-05:00,6.0,0.0,0.0,6.0
2023-08-24T01:20:00-05:00,4.0,0.0,0.0,4.0
2023-08-24T01:25:00-05:00,3.9,0.0,0.0,3.9
2023-08-24T01:30:00-05:00,4.0,0.0,0.0,4.0
2023-08-24T01:35:00-05:00,1.3,0.0,0.0,1.3
2023-08-24T01:40:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T01:45:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T01:50:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T01:55:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T02:00:00-05:00,0.6,0.0,0.0,0.6
2023-08-24T02:05:00-05:00,0.8,0.0,0.0,0.8
2023-08-24T02:10:00-05:00,2.7,0.0,0.0,2.7
2023-08-24T02:15:00-05:00,5.4,0.0,0.0,5.4
2023-08-24T02:20:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T02:25:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T02:30:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T02:35:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T02:40:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T02:45:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T02:50:00-05:00,0.9,0.8,0.0,0.0
2023-08-24T02:55:00-05:00,4.2,4.2,0.0,0.0
2023-08-24T03:00:00-05:00,4.3,4.3,0.0,0.0
2023-08-24T03:05:00-05:00,5.5,4.6,0.0,0.9
2023-08-24T03:10:00-05:00,2.0,2.0,0.0,0.0
2023-08-24T03:15:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T03:20:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T03:25:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T03:30:00-05:00,5.9,4.6,0.0,1.3
2023-08-24T03:35:00-05:00,7.7,5.0,0.0,2.6
2023-08-24T03:40:00-05:00,5.0,4.2,0.0,0.8
2023-08-24T03:45:00-05:00,1.1,1.1,0.0,0.0
2023-08-24T03:50:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T03:55:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T04:00:00-05:00,0.7,0.7,0.0,0.0
2023-08-24T04:05:00-05:00,2.7,2.6,0.0,0.0
2023-08-24T04:10:00-05:00,1.6,1.6,0.0,0.0
2023-08-24T04:15:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T04:20:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T04:25:00-05:00,4.2,4.2,0.0,0.0
2023-08-24T04:30:00-05:00,3.6,3.6,0.0,0.0
2023-08-24T04:35:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T04:40:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T04:45:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T04:50:00-05:00,0.5,0.5,0.0,0.0
2023-08-24T04:55:00-05:00,2.8,2.8,0.0,0.0
2023-08-24T05:00:00-05:00,5.9,4.9,0.0,0.9
2023-08-24T05:05:00-05:00,4.7,4.3,0.0,0.4
2023-08-24T05:10:00-05:00,3.8,3.8,0.0,0.0
2023-08-24T05:15:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T05:20:00-05:00,3.8,3.8,0.0,0.0
2023-08-24T05:25:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T05:30:00-05:00,3.8,3.8,0.0,0.0
2023-08-24T05:35:00-05:00,4.0,4.0,0.0,0.0
2023-08-24T05:40:00-05:00,3.8,3.8,0.0,0.0
2023-08-24T05:45:00-05:00,0.7,0.7,0.0,0.0
2023-08-24T05:50:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T05:55:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T06:00:00-05:00,1.5,1.4,0.0,0.0
2023-08-24T06:05:00-05:00,2.5,2.5,0.0,0.0
2023-08-24T06:10:00-05:00,0.5,0.5,0.0,0.0
2023-08-24T06:15:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T06:20:00-05:00,0.5,0.5,0.0,0.0
2023-08-24T06:25:00-05:00,0.5,0.5,0.0,0.0
2023-08-24T06:30:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T06:35:00-05:00,2.2,2.2,0.0,0.0
2023-08-24T06:40:00-05:00,4.2,4.2,0.0,0.0
2023-08-24T06:45:00-05:00,4.2,4.2,0.0,0.0
2023-08-24T06:50:00-05:00,1.2,1.2,0.0,0.0
2023-08-24T06:55:00-05:00,0.6,0.6,0.0,0.0
2023-08-24T07:00:00-05:00,1.8,1.8,0.0,0.0
2023-08-24T07:05:00-05:00,2.2,2.2,0.0,0.0
2023-08-24T07:10:00-05:00,0.5,0.5,0.0,0.0
2023-08-24T07:15:00-05:00,0.5,0.4,0.0,0.0
2023-08-24T07:20:00-05:00,0.6,0.5,0.2,0.0
2023-08-24T07:25:00-05:00,3.2,3.0,0.2,0.0
2023-08-24T07:30:00-05:00,4.3,4.0,0.3,0.0
2023-08-24T07:35:00-05:00,3.6,0.2,0.4,3.0
2023-08-24T07:40:00-05:00,0.9,-0.5,0.5,0.9
2023-08-24T07:45:00-05:00,1.2,-0.6,0.6,1.2
2023-08-24T07:50:00-05:00,0.8,-0.8,0.8,0.8
2023-08-24T07:55:00-05:00,0.7,-1.3,1.4,0.7
2023-08-24T08:00:00-05:00,3.0,-2.4,2.2,3.2
2023-08-24T08:05:00-05:00,7.3,2.9,2.8,1.6
2023-08-24T08:10:00-05:00,5.0,2.0,3.0,0.0
2023-08-24T08:15:00-05:00,1.2,-0.5,1.6,0.0
2023-08-24T08:20:00-05:00,0.6,-1.0,1.6,0.0
2023-08-24T08:25:00-05:00,0.7,-1.3,2.0,0.0
2023-08-24T08:30:00-05:00,0.6,-2.9,3.5,0.0
2023-08-24T08:35:00-05:00,0.8,-3.7,4.5,0.0
2023-08-24T08:40:00-05:00,3.7,-1.1,4.7,0.0
2023-08-24T08:45:00-05:00,7.3,2.4,4.9,0.0
2023-08-24T08:50:00-05:00,6.9,1.4,5.5,0.0
2023-08-24T08:55:00-05:00,4.2,-1.2,5.4,0.0
2023-08-24T09:00:00-05:00,4.3,-1.1,5.4,0.0
2023-08-24T09:05:00-05:00,4.4,-1.1,5.5,0.0
2023-08-24T09:10:00-05:00,5.2,-0.6,5.8,0.0
2023-08-24T09:15:00-05:00,5.1,-1.0,6.1,0.0
