name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
77494,2023-08-24T00:00:00,84.1,91.6,74.4,72.74,0,0,,0,0,17.2,5.7,243,1014.8,18,9.9,0,0,0,3,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T01:00:00,82.7,89.9,75.1,77.89,0,0,,0,0,11.4,5.3,253,1014.8,18,9.9,0,0,0,8,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T02:00:00,80.9,86.9,75.3,83.16,0,0,,0,0,8.1,4.4,267,1014.5,18,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T03:00:00,80.7,86.5,75.7,84.77,0,0,,0,0,15,4.5,279,1014.4,25.6,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T04:00:00,79.9,79.9,75.6,86.97,0,0,,0,0,10.3,5.6,276,1014.4,20.5,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T05:00:00,79.8,79.8,75.5,86.86,0,0,,0,0,15,3.9,296,1014.2,28.9,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T06:00:00,79.7,79.7,75.1,85.71,0,0,,0,0,17.2,4.9,300,1014.7,65.5,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T07:00:00,79.8,79.8,76.4,89.4,0,0,,0,0,16.1,3.8,294,1015.5,85.2,9.9,9,0,0,8,Partially cloudy,partly-cloudy-day,"KSGR,72254312977,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T08:00:00,81.1,88.4,77.3,88.28,0,0,,0,0,17.2,1.4,351,1015.7,16.3,9.5,107,0.4,1,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T09:00:00,85.8,96.9,77.1,75.27,0,0,,0,0,9.2,4.3,318,1015.9,17.9,9.9,192,0.7,2,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T10:00:00,90.7,100.4,74.1,58.4,0,0,,0,0,16.1,6.3,327,1016,0,9.9,455,1.6,5,30,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T11:00:00,96.3,103.6,70.5,43.45,0,0,,0,0,9.2,6.5,5,1016,0,9.9,520,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T12:00:00,99.5,106.1,68.9,37.34,0,0,,0,0,8.1,5.1,332,1015.6,0,9.9,529,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T13:00:00,101.6,108.1,68.1,34.04,0,0,,0,0,6.9,1.2,14,1014.9,0,9.9,541,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T14:00:00,103.8,111.4,68.7,32.66,0,0,,0,0,8.1,3.9,45,1014,4.9,9.9,536,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T15:00:00,105.4,113.8,69.1,31.57,0,0,,0,0,12.8,5.5,319,1013,64.7,9.9,527,1.9,5,10,Partially cloudy,partly-cloudy-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T16:00:00,105.1,112.1,67.8,30.42,0,0,,0,0,8.1,3.4,314,1011.9,0,9.9,492,1.8,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T17:00:00,105.8,113.1,67.8,29.74,0,0,,0,0,8.1,6,306,1011.4,20.5,9.9,431,1.6,4,10,Partially cloudy,partly-cloudy-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T18:00:00,105.2,112.8,68.3,30.83,0,0,,0,0,8.1,9.5,179,1010.9,9,9.9,153,0.6,2,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T19:00:00,102.5,111.1,70.1,35.5,0,0,,0,0,26.4,10.7,179,1011,15,9.5,128,0.5,1,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T20:00:00,95.5,105.2,72.9,48.23,0,0,,0,0,15,9.3,164,1012.6,41.8,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-24T21:00:00,91.5,100.8,73.5,55.91,0,0,,0,0,13.9,5.8,233,1012.9,16.8,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
